"GEOID","NAME","TotalWorkers","ShCommute45OrLess"
"45023020100","Census Tract 201; Chester County; South Carolina",694,83.5
"45023020200","Census Tract 202; Chester County; South Carolina",1391,68.4
"45023020300","Census Tract 203; Chester County; South Carolina",1282,73
"45023020400","Census Tract 204; Chester County; South Carolina",1315,80.7
"45023020500","Census Tract 205; Chester County; South Carolina",1288,61.7
"45023020601","Census Tract 206.01; Chester County; South Carolina",1156,75.5
"45023020602","Census Tract 206.02; Chester County; South Carolina",1606,82.1
"45023020700","Census Tract 207; Chester County; South Carolina",1042,87.6
"45023020800","Census Tract 208; Chester County; South Carolina",2138,69.2
"45023020900","Census Tract 209; Chester County; South Carolina",851,81.5
"45023021000","Census Tract 210; Chester County; South Carolina",675,82.7
"45057010100","Census Tract 101; Lancaster County; South Carolina",1965,64
"45057010201","Census Tract 102.01; Lancaster County; South Carolina",770,77.3
"45057010202","Census Tract 102.02; Lancaster County; South Carolina",1977,79.3
"45057010300","Census Tract 103; Lancaster County; South Carolina",2706,75.8
"45057010400","Census Tract 104; Lancaster County; South Carolina",1803,75.4
"45057010500","Census Tract 105; Lancaster County; South Carolina",2449,78.6
"45057010600","Census Tract 106; Lancaster County; South Carolina",3035,72
"45057010700","Census Tract 107; Lancaster County; South Carolina",1105,74.7
"45057010800","Census Tract 108; Lancaster County; South Carolina",944,78.6
"45057010900","Census Tract 109; Lancaster County; South Carolina",1637,80.9
"45057011001","Census Tract 110.01; Lancaster County; South Carolina",2655,60.9
"45057011002","Census Tract 110.02; Lancaster County; South Carolina",1948,77
"45057011100","Census Tract 111; Lancaster County; South Carolina",2697,70.5
"45057011203","Census Tract 112.03; Lancaster County; South Carolina",1835,85.1
"45057011204","Census Tract 112.04; Lancaster County; South Carolina",3144,80.8
"45057011205","Census Tract 112.05; Lancaster County; South Carolina",3147,84
"45057011206","Census Tract 112.06; Lancaster County; South Carolina",1230,92.3
"45057011207","Census Tract 112.07; Lancaster County; South Carolina",1888,84.5
"45057011208","Census Tract 112.08; Lancaster County; South Carolina",2243,66.8
"45057011209","Census Tract 112.09; Lancaster County; South Carolina",1881,73.4
"45057011210","Census Tract 112.10; Lancaster County; South Carolina",1791,48.6
"45057011211","Census Tract 112.11; Lancaster County; South Carolina",240,64.6
"45087030100","Census Tract 301; Union County; South Carolina",980,76.7
"45087030200","Census Tract 302; Union County; South Carolina",904,73.3
"45087030300","Census Tract 303; Union County; South Carolina",1413,78.4
"45087030401","Census Tract 304.01; Union County; South Carolina",1004,79
"45087030402","Census Tract 304.02; Union County; South Carolina",1102,77.6
"45087030500","Census Tract 305; Union County; South Carolina",721,79.6
"45087030600","Census Tract 306; Union County; South Carolina",864,67.6
"45087030700","Census Tract 307; Union County; South Carolina",1252,73
"45087030800","Census Tract 308; Union County; South Carolina",1489,84.9
"45087030900","Census Tract 309; Union County; South Carolina",862,75.9
"45091060102","Census Tract 601.02; York County; South Carolina",1484,89.4
"45091060200","Census Tract 602; York County; South Carolina",1337,90.2
"45091060300","Census Tract 603; York County; South Carolina",1802,74.7
"45091060401","Census Tract 604.01; York County; South Carolina",995,92
"45091060402","Census Tract 604.02; York County; South Carolina",1425,86
"45091060501","Census Tract 605.01; York County; South Carolina",1212,96.6
"45091060502","Census Tract 605.02; York County; South Carolina",953,93.8
"45091060600","Census Tract 606; York County; South Carolina",631,95.5
"45091060700","Census Tract 607; York County; South Carolina",3209,84.5
"45091060802","Census Tract 608.02; York County; South Carolina",1147,80.2
"45091060803","Census Tract 608.03; York County; South Carolina",2229,73.2
"45091060804","Census Tract 608.04; York County; South Carolina",2380,86.6
"45091060901","Census Tract 609.01; York County; South Carolina",4134,84.9
"45091060904","Census Tract 609.04; York County; South Carolina",3751,72.4
"45091060908","Census Tract 609.08; York County; South Carolina",2090,85.7
"45091060909","Census Tract 609.09; York County; South Carolina",2941,85.4
"45091060910","Census Tract 609.10; York County; South Carolina",2041,84.3
"45091060911","Census Tract 609.11; York County; South Carolina",3028,85.6
"45091060912","Census Tract 609.12; York County; South Carolina",1129,91
"45091060913","Census Tract 609.13; York County; South Carolina",3165,80.6
"45091061004","Census Tract 610.04; York County; South Carolina",5254,86.6
"45091061006","Census Tract 610.06; York County; South Carolina",2367,80.7
"45091061007","Census Tract 610.07; York County; South Carolina",4043,82.2
"45091061008","Census Tract 610.08; York County; South Carolina",3845,88.8
"45091061009","Census Tract 610.09; York County; South Carolina",5057,76.6
"45091061010","Census Tract 610.10; York County; South Carolina",2635,65.1
"45091061011","Census Tract 610.11; York County; South Carolina",5154,79.8
"45091061012","Census Tract 610.12; York County; South Carolina",2665,87.4
"45091061101","Census Tract 611.01; York County; South Carolina",2554,86.7
"45091061103","Census Tract 611.03; York County; South Carolina",5378,86.7
"45091061104","Census Tract 611.04; York County; South Carolina",3001,82.4
"45091061202","Census Tract 612.02; York County; South Carolina",1696,86.7
"45091061203","Census Tract 612.03; York County; South Carolina",3185,78.7
"45091061204","Census Tract 612.04; York County; South Carolina",2636,82.7
"45091061205","Census Tract 612.05; York County; South Carolina",1781,88.2
"45091061301","Census Tract 613.01; York County; South Carolina",2446,87.2
"45091061302","Census Tract 613.02; York County; South Carolina",2268,76.3
"45091061401","Census Tract 614.01; York County; South Carolina",2248,84.2
"45091061403","Census Tract 614.03; York County; South Carolina",3264,81.6
"45091061404","Census Tract 614.04; York County; South Carolina",1821,89.4
"45091061503","Census Tract 615.03; York County; South Carolina",1469,80.4
"45091061504","Census Tract 615.04; York County; South Carolina",2800,70.1
"45091061505","Census Tract 615.05; York County; South Carolina",1328,72.9
"45091061506","Census Tract 615.06; York County; South Carolina",2642,85
"45091061601","Census Tract 616.01; York County; South Carolina",1313,73.4
"45091061602","Census Tract 616.02; York County; South Carolina",2994,73.1
"45091061701","Census Tract 617.01; York County; South Carolina",2100,75.3
"45091061705","Census Tract 617.05; York County; South Carolina",2529,77.1
"45091061706","Census Tract 617.06; York County; South Carolina",3694,72
"45091061708","Census Tract 617.08; York County; South Carolina",3718,69
"45091061709","Census Tract 617.09; York County; South Carolina",3393,73.9
"45091061710","Census Tract 617.10; York County; South Carolina",1612,79.2
"45091061801","Census Tract 618.01; York County; South Carolina",1662,64.5
"45091061802","Census Tract 618.02; York County; South Carolina",1900,72.5
"45091061900","Census Tract 619; York County; South Carolina",2420,65.2
